PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"33634751","Guidelines for the use and interpretation of assays for monitoring autophagy (4th edition)(1)","Klionsky DJ, Abdel-Aziz AK, Abdelfatah S, Abdellatif M, Abdoli A, Abel S, Abeliovich H, Abildgaard MH, Abudu YP, Acevedo-Arozena A, Adamopoulos IE, Adeli K, Adolph TE, Adornetto A, Aflaki E, Agam G, Agarwal A, Aggarwal BB, Agnello M, Agostinis P, Agrewala JN, Agrotis A, Aguilar PV, Ahmad ST, Ahmed ZM, Ahumada-Castro U, Aits S, Aizawa S, Akkoc Y, Akoumianaki T, Akpinar HA, Al-Abd AM, Al-Akra L, Al-Gharaibeh A, Alaoui-Jamali MA, Alberti S, Alcocer-Gómez E, Alessandri C, Ali M, Alim Al-Bari MA, Aliwaini S, Alizadeh J, Almacellas E, Almasan A, Alonso A, Alonso GD, Altan-Bonnet N, Altieri DC, Álvarez ÉMC, Alves S, Alves da Costa C, Alzaharna MM, Amadio M, Amantini C, Amaral C, Ambrosio S, Amer AO, Ammanathan V, An Z, Andersen SU, Andrabi SA, Andrade-Silva M, Andres AM, Angelini S, Ann D, Anozie UC, Ansari MY, Antas P, Antebi A, Antón Z, Anwar T, Apetoh L, Apostolova N, Araki T, Araki Y, Arasaki K, Araújo WL, Araya J, Arden C, Arévalo MA, Arguelles S, Arias E, Arikkath J, Arimoto H, Ariosa AR, Armstrong-James D, Arnauné-Pelloquin L, Aroca A, Arroyo DS, Arsov I, Artero R, Asaro DML, Aschner M, Ashrafizadeh M, Ashur-Fabian O, Atanasov AG, Au AK, Auberger P, Auner HW, Aurelian L, et al.","Autophagy. 2021 Jan;17(1):1-382. doi: 10.1080/15548627.2020.1797280. Epub 2021 Feb 8.","Klionsky DJ","Autophagy","2021","2021/02/26","PMC7996087","","10.1080/15548627.2020.1797280"
"27099902","Non-Diabetic Hypoglycemia","Bansal N, Weinstock RS.","2020 May 20. In: Feingold KR, Anawalt B, Blackman MR, Boyce A, Chrousos G, Corpas E, de Herder WW, Dhatariya K, Dungan K, Hofland J, Kalra S, Kaltsas G, Kapoor N, Koch C, Kopp P, Korbonits M, Kovacs CS, Kuohung W, Laferrère B, Levy M, McGee EA, McLachlan R, New M, Purnell J, Sahay R, Shah AS, Singer F, Sperling MA, Stratakis CA, Trence DL, Wilson DP, editors. Endotext [Internet]. South Dartmouth (MA): MDText.com, Inc.; 2000–.","Bansal N","Endotext","2000","2020/05/20","","",""
"35874653","Toward Precision Medicine in ADHD","Buitelaar J, Bölte S, Brandeis D, Caye A, Christmann N, Cortese S, Coghill D, Faraone SV, Franke B, Gleitz M, Greven CU, Kooij S, Leffa DT, Rommelse N, Newcorn JH, Polanczyk GV, Rohde LA, Simonoff E, Stein M, Vitiello B, Yazgan Y, Roesler M, Doepfner M, Banaschewski T.","Front Behav Neurosci. 2022 Jul 6;16:900981. doi: 10.3389/fnbeh.2022.900981. eCollection 2022.","Buitelaar J","Front Behav Neurosci","2022","2022/07/25","PMC9299434","","10.3389/fnbeh.2022.900981"
"35396580","Mapping genomic loci implicates genes and synaptic biology in schizophrenia","Trubetskoy V, Pardiñas AF, Qi T, Panagiotaropoulou G, Awasthi S, Bigdeli TB, Bryois J, Chen CY, Dennison CA, Hall LS, Lam M, Watanabe K, Frei O, Ge T, Harwood JC, Koopmans F, Magnusson S, Richards AL, Sidorenko J, Wu Y, Zeng J, Grove J, Kim M, Li Z, Voloudakis G, Zhang W, Adams M, Agartz I, Atkinson EG, Agerbo E, Al Eissa M, Albus M, Alexander M, Alizadeh BZ, Alptekin K, Als TD, Amin F, Arolt V, Arrojo M, Athanasiu L, Azevedo MH, Bacanu SA, Bass NJ, Begemann M, Belliveau RA, Bene J, Benyamin B, Bergen SE, Blasi G, Bobes J, Bonassi S, Braun A, Bressan RA, Bromet EJ, Bruggeman R, Buckley PF, Buckner RL, Bybjerg-Grauholm J, Cahn W, Cairns MJ, Calkins ME, Carr VJ, Castle D, Catts SV, Chambert KD, Chan RCK, Chaumette B, Cheng W, Cheung EFC, Chong SA, Cohen D, Consoli A, Cordeiro Q, Costas J, Curtis C, Davidson M, Davis KL, de Haan L, Degenhardt F, DeLisi LE, Demontis D, Dickerson F, Dikeos D, Dinan T, Djurovic S, Duan J, Ducci G, Dudbridge F, Eriksson JG, Fañanás L, Faraone SV, Fiorentino A, Forstner A, Frank J, Freimer NB, Fromer M, Frustaci A, Gadelha A, Genovese G, Gershon ES, et al.","Nature. 2022 Apr;604(7906):502-508. doi: 10.1038/s41586-022-04434-5. Epub 2022 Apr 8.","Trubetskoy V","Nature","2022","2022/04/09","PMC9392466","NIHMS1824605","10.1038/s41586-022-04434-5"
"29930110","Analysis of shared heritability in common disorders of the brain","Brainstorm Consortium; Anttila V, Bulik-Sullivan B, Finucane HK, Walters RK, Bras J, Duncan L, Escott-Price V, Falcone GJ, Gormley P, Malik R, Patsopoulos NA, Ripke S, Wei Z, Yu D, Lee PH, Turley P, Grenier-Boley B, Chouraki V, Kamatani Y, Berr C, Letenneur L, Hannequin D, Amouyel P, Boland A, Deleuze JF, Duron E, Vardarajan BN, Reitz C, Goate AM, Huentelman MJ, Kamboh MI, Larson EB, Rogaeva E, St George-Hyslop P, Hakonarson H, Kukull WA, Farrer LA, Barnes LL, Beach TG, Demirci FY, Head E, Hulette CM, Jicha GA, Kauwe JSK, Kaye JA, Leverenz JB, Levey AI, Lieberman AP, Pankratz VS, Poon WW, Quinn JF, Saykin AJ, Schneider LS, Smith AG, Sonnen JA, Stern RA, Van Deerlin VM, Van Eldik LJ, Harold D, Russo G, Rubinsztein DC, Bayer A, Tsolaki M, Proitsi P, Fox NC, Hampel H, Owen MJ, Mead S, Passmore P, Morgan K, Nöthen MM, Rossor M, Lupton MK, Hoffmann P, Kornhuber J, Lawlor B, McQuillin A, Al-Chalabi A, Bis JC, Ruiz A, Boada M, Seshadri S, Beiser A, Rice K, van der Lee SJ, De Jager PL, Geschwind DH, Riemenschneider M, Riedel-Heller S, Rotter JI, Ransmayr G, Hyman BT, Cruchaga C, Alegret M, Winsvold B, Palta P, Farh KH, Cuenca-Leon E, Furlotte N, et al.","Science. 2018 Jun 22;360(6395):eaap8757. doi: 10.1126/science.aap8757.","Brainstorm Consortium","Science","2018","2018/06/23","PMC6097237","NIHMS979389","10.1126/science.aap8757"
"35948633","Truncated FGFR2 is a clinically actionable oncogene in multiple cancers","Zingg D, Bhin J, Yemelyanenko J, Kas SM, Rolfs F, Lutz C, Lee JK, Klarenbeek S, Silverman IM, Annunziato S, Chan CS, Piersma SR, Eijkman T, Badoux M, Gogola E, Siteur B, Sprengers J, de Klein B, de Goeij-de Haas RR, Riedlinger GM, Ke H, Madison R, Drenth AP, van der Burg E, Schut E, Henneman L, van Miltenburg MH, Proost N, Zhen H, Wientjens E, de Bruijn R, de Ruiter JR, Boon U, de Korte-Grimmerink R, van Gerwen B, Féliz L, Abou-Alfa GK, Ross JS, van de Ven M, Rottenberg S, Cuppen E, Chessex AV, Ali SM, Burn TC, Jimenez CR, Ganesan S, Wessels LFA, Jonkers J.","Nature. 2022 Aug;608(7923):609-617. doi: 10.1038/s41586-022-05066-5. Epub 2022 Aug 10.","Zingg D","Nature","2022","2022/08/10","PMC9436779","","10.1038/s41586-022-05066-5"
"32198361","ENIGMA and global neuroscience: A decade of large-scale studies of the brain in health and disease across more than 40 countries","Thompson PM, Jahanshad N, Ching CRK, Salminen LE, Thomopoulos SI, Bright J, Baune BT, Bertolín S, Bralten J, Bruin WB, Bülow R, Chen J, Chye Y, Dannlowski U, de Kovel CGF, Donohoe G, Eyler LT, Faraone SV, Favre P, Filippi CA, Frodl T, Garijo D, Gil Y, Grabe HJ, Grasby KL, Hajek T, Han LKM, Hatton SN, Hilbert K, Ho TC, Holleran L, Homuth G, Hosten N, Houenou J, Ivanov I, Jia T, Kelly S, Klein M, Kwon JS, Laansma MA, Leerssen J, Lueken U, Nunes A, Neill JO, Opel N, Piras F, Piras F, Postema MC, Pozzi E, Shatokhina N, Soriano-Mas C, Spalletta G, Sun D, Teumer A, Tilot AK, Tozzi L, van der Merwe C, Van Someren EJW, van Wingen GA, Völzke H, Walton E, Wang L, Winkler AM, Wittfeld K, Wright MJ, Yun JY, Zhang G, Zhang-James Y, Adhikari BM, Agartz I, Aghajani M, Aleman A, Althoff RR, Altmann A, Andreassen OA, Baron DA, Bartnik-Olson BL, Marie Bas-Hoogendam J, Baskin-Sommers AR, Bearden CE, Berner LA, Boedhoe PSW, Brouwer RM, Buitelaar JK, Caeyenberghs K, Cecil CAM, Cohen RA, Cole JH, Conrod PJ, De Brito SA, de Zwarte SMC, Dennis EL, Desrivieres S, Dima D, Ehrlich S, Esopenko C, Fairchild G, Fisher SE, Fouche JP, Francks C, et al.","Transl Psychiatry. 2020 Mar 20;10(1):100. doi: 10.1038/s41398-020-0705-1.","Thompson PM","Transl Psychiatry","2020","2020/03/22","PMC7083923","","10.1038/s41398-020-0705-1"
"34861974","Dissecting the Shared Genetic Architecture of Suicide Attempt, Psychiatric Disorders, and Known Risk Factors","Mullins N, Kang J, Campos AI, Coleman JRI, Edwards AC, Galfalvy H, Levey DF, Lori A, Shabalin A, Starnawska A, Su MH, Watson HJ, Adams M, Awasthi S, Gandal M, Hafferty JD, Hishimoto A, Kim M, Okazaki S, Otsuka I, Ripke S, Ware EB, Bergen AW, Berrettini WH, Bohus M, Brandt H, Chang X, Chen WJ, Chen HC, Crawford S, Crow S, DiBlasi E, Duriez P, Fernández-Aranda F, Fichter MM, Gallinger S, Glatt SJ, Gorwood P, Guo Y, Hakonarson H, Halmi KA, Hwu HG, Jain S, Jamain S, Jiménez-Murcia S, Johnson C, Kaplan AS, Kaye WH, Keel PK, Kennedy JL, Klump KL, Li D, Liao SC, Lieb K, Lilenfeld L, Liu CM, Magistretti PJ, Marshall CR, Mitchell JE, Monson ET, Myers RM, Pinto D, Powers A, Ramoz N, Roepke S, Rozanov V, Scherer SW, Schmahl C, Sokolowski M, Strober M, Thornton LM, Treasure J, Tsuang MT, Witt SH, Woodside DB, Yilmaz Z, Zillich L, Adolfsson R, Agartz I, Air TM, Alda M, Alfredsson L, Andreassen OA, Anjorin A, Appadurai V, Soler Artigas M, Van der Auwera S, Azevedo MH, Bass N, Bau CHD, Baune BT, Bellivier F, Berger K, Biernacka JM, Bigdeli TB, Binder EB, Boehnke M, Boks MP, Bosch R, Braff DL, et al.","Biol Psychiatry. 2022 Feb 1;91(3):313-327. doi: 10.1016/j.biopsych.2021.05.029. Epub 2021 Sep 9.","Mullins N","Biol Psychiatry","2022","2021/12/04","PMC8851871","NIHMS1760998","10.1016/j.biopsych.2021.05.029"
"31740837","Comparative genetic architectures of schizophrenia in East Asian and European populations","Lam M, Chen CY, Li Z, Martin AR, Bryois J, Ma X, Gaspar H, Ikeda M, Benyamin B, Brown BC, Liu R, Zhou W, Guan L, Kamatani Y, Kim SW, Kubo M, Kusumawardhani AAAA, Liu CM, Ma H, Periyasamy S, Takahashi A, Xu Z, Yu H, Zhu F; Schizophrenia Working Group of the Psychiatric Genomics Consortium; Indonesia Schizophrenia Consortium; Genetic REsearch on schizophreniA neTwork-China and the Netherlands (GREAT-CN); Chen WJ, Faraone S, Glatt SJ, He L, Hyman SE, Hwu HG, McCarroll SA, Neale BM, Sklar P, Wildenauer DB, Yu X, Zhang D, Mowry BJ, Lee J, Holmans P, Xu S, Sullivan PF, Ripke S, O'Donovan MC, Daly MJ, Qin S, Sham P, Iwata N, Hong KS, Schwab SG, Yue W, Tsuang M, Liu J, Ma X, Kahn RS, Shi Y, Huang H.","Nat Genet. 2019 Dec;51(12):1670-1678. doi: 10.1038/s41588-019-0512-x. Epub 2019 Nov 18.","Lam M","Nat Genet","2019","2019/11/20","PMC6885121","NIHMS1539625","10.1038/s41588-019-0512-x"
"28384801","The World Health Organization Adult Attention-Deficit/Hyperactivity Disorder Self-Report Screening Scale for DSM-5","Ustun B, Adler LA, Rudin C, Faraone SV, Spencer TJ, Berglund P, Gruber MJ, Kessler RC.","JAMA Psychiatry. 2017 May 1;74(5):520-527. doi: 10.1001/jamapsychiatry.2017.0298.","Ustun B","JAMA Psychiatry","2017","2017/04/07","PMC5470397","","10.1001/jamapsychiatry.2017.0298"
